Month_Year	S&P500_price	S&P_500_price_change	S&P_500_percent_change
1/1/2007	1424.16	7.74	0.546
2/1/2007	1444.8	20.64	1.449
3/1/2007	1406.95	-37.85	-2.62
4/1/2007	1463.64	56.69	4.029
5/1/2007	1511.14	47.5	3.245
6/1/2007	1514.19	3.05	0.202
7/1/2007	1520.71	6.52	0.431
8/1/2007	1454.62	-66.09	-4.346
9/1/2007	1497.12	42.5	2.922
10/1/2007	1539.66	42.54	2.841
11/1/2007	1463.39	-76.27	-4.954
12/1/2007	1479.22	15.83	1.082
1/1/2008	1378.76	-100.46	-6.791
2/1/2008	1354.87	-23.89	-1.733
3/1/2008	1316.94	-37.93	-2.8
4/1/2008	1370.47	53.53	4.065
5/1/2008	1403.22	32.75	2.39
6/1/2008	1341.25	-61.97	-4.416
7/1/2008	1257.33	-83.92	-6.257
8/1/2008	1281.47	24.14	1.92
9/1/2008	1216.95	-64.52	-5.035
10/1/2008	968.8	-248.15	-20.391
11/1/2008	883.04	-85.76	-8.852
12/1/2008	877.56	-5.48	-0.621
1/1/2009	865.58	-11.98	-1.365
2/1/2009	805.23	-60.35	-6.972
3/1/2009	757.13	-48.1	-5.973
4/1/2009	848.15	91.02	12.022
5/1/2009	902.41	54.26	6.397
6/1/2009	926.12	23.71	2.627
7/1/2009	935.82	9.7	1.047
8/1/2009	1009.73	73.91	7.898
9/1/2009	1044.55	34.82	3.448
10/1/2009	1067.66	23.11	2.212
11/1/2009	1088.07	20.41	1.912
12/1/2009	1110.38	22.31	2.05
1/1/2010	1123.58	13.2	1.189
2/1/2010	1089.16	-34.42	-3.063
3/1/2010	1152.05	62.89	5.774
4/1/2010	1197.32	45.27	3.93
5/1/2010	1125.06	-72.26	-6.035
6/1/2010	1083.36	-41.7	-3.706
7/1/2010	1079.8	-3.56	-0.329
8/1/2010	1087.28	7.48	0.693
9/1/2010	1122.08	34.8	3.201
10/1/2010	1171.58	49.5	4.411
11/1/2010	1198.89	27.31	2.331
12/1/2010	1241.53	42.64	3.557
1/1/2011	1282.62	41.09	3.31
2/1/2011	1321.12	38.5	3.002
3/1/2011	1304.49	-16.63	-1.259
4/1/2011	1331.51	27.02	2.071
5/1/2011	1338.31	6.8	0.511
6/1/2011	1287.29	-51.02	-3.812
7/1/2011	1325.19	37.9	2.944
8/1/2011	1185.31	-139.88	-10.555
9/1/2011	1173.88	-11.43	-0.964
10/1/2011	1207.22	33.34	2.84
11/1/2011	1226.42	19.2	1.59
12/1/2011	1243.32	16.9	1.378
1/1/2012	1300.58	57.26	4.605
2/1/2012	1352.49	51.91	3.991
3/1/2012	1389.24	36.75	2.717
4/1/2012	1386.43	-2.81	-0.202
5/1/2012	1341.27	-45.16	-3.257
6/1/2012	1323.48	-17.79	-1.326
7/1/2012	1359.78	36.3	2.743
8/1/2012	1403.45	43.67	3.212
9/1/2012	1443.42	39.97	2.848
10/1/2012	1437.82	-5.6	-0.388
11/1/2012	1394.51	-43.31	-3.012
12/1/2012	1422.29	27.78	1.992
1/1/2013	1480.4	58.11	4.086
2/1/2013	1512.31	31.91	2.155
3/1/2013	1550.83	38.52	2.547
4/1/2013	1570.7	19.87	1.281
5/1/2013	1639.84	69.14	4.402
6/1/2013	1618.77	-21.07	-1.285
7/1/2013	1668.68	49.91	3.083
8/1/2013	1670.09	1.41	0.084
9/1/2013	1687.17	17.08	1.023
10/1/2013	1720.03	32.86	1.948
11/1/2013	1783.54	63.51	3.692
12/1/2013	1807.78	24.24	1.359
1/1/2014	1822.36	14.58	0.807
2/1/2014	1817.04	-5.32	-0.292
3/1/2014	1863.52	46.48	2.558
4/1/2014	1864.26	0.74	0.04
5/1/2014	1889.77	25.51	1.368
6/1/2014	1947.09	57.32	3.033
7/1/2014	1973.1	26.01	1.336
8/1/2014	1961.53	-11.57	-0.586
9/1/2014	1993.23	31.7	1.616
10/1/2014	1937.27	-55.96	-2.808
11/1/2014	2044.57	107.3	5.539
12/1/2014	2054.27	9.7	0.474
1/1/2015	2028.18	-26.09	-1.27
2/1/2015	2082.2	54.02	2.663
3/1/2015	2079.99	-2.21	-0.106
4/1/2015	2094.86	14.87	0.715
5/1/2015	2111.94	17.08	0.815
6/1/2015	2099.29	-12.65	-0.599
7/1/2015	2094.14	-5.15	-0.245
8/1/2015	2039.87	-54.27	-2.592
9/1/2015	1944.41	-95.46	-4.68
10/1/2015	2024.81	80.4	4.135
11/1/2015	2080.62	55.81	2.756
12/1/2015	2054.08	-26.54	-1.276
1/1/2016	1918.6	-135.48	-6.596
2/1/2016	1904.42	-14.18	-0.739
3/1/2016	2021.95	117.53	6.171
4/1/2016	2075.54	53.59	2.65
5/1/2016	2065.55	-9.99	-0.481
6/1/2016	2083.89	18.34	0.888
7/1/2016	2148.9	65.01	3.12
8/1/2016	2170.95	22.05	1.026
9/1/2016	2157.69	-13.26	-0.611
10/1/2016	2143.02	-14.67	-0.68
11/1/2016	2164.99	21.97	1.025
12/1/2016	2246.63	81.64	3.771
			
